crime_type,location,time
Suspicious Circumstances,Central Mesa Apartments,12:03 PM
Incomplete/Accidental Wireless 911 Call,Scripps Memorial Hospital,1:08 PM
Burglary Alarm,Leichtag Family Foundation Biomedical Research,3:24 PM
Signal Light Malfunction,Gilman Drive/Theatre District Drive,3:32 PM
Non-Criminal Fire,South Mesa Apartments,7:07 PM
Signal Light Malfunction,North Torrey Pines Road/Revelle College Drive,8:25 PM
Vandalism,Mandeville Center,10:47 PM
Disturbance,Astilla,11:07 PM
Simple Assault,Hillcrest Medical Center,8:04 PM
Information,Mesa Canyon Parking,2:18 AM
Trespass: Non-Student Refuse to Leave Campus/ University Curfew Violation/ Stay Away Order Issuance,Pepper Canyon Hall,4:50 AM-5:20 AM
Security Alarm,Blue Peek,5:15 AM
Traffic Hazard,La Jolla Village,6:50 AM
Property Damage,One Miramar Street,8:16 AM
Incomplete/Accidental Landline 911 Call,UC San Diego,8:29 AM
Welfare Check,Regents Road,8:32 AM
Information Only Report,CAPA,8:49AM-9:35AM
Information,CAPA,8:49AM-9:35AM
Traffic Hazard,La Jolla Village Drive,8:58 AM
Suspicious Person,Visual Arts Facility,9:54 AM
Suspicious Person,Mosaic,10:05 AM
Hit and Run Collision - No Injuries,Torrey Pines Lane,10:24 AM
Medical Aid,Koman Family Outpatient,11:05 AM
Mental Health Detention,UC San Diego Residential Area,11:15 AM
Security Alarm,Humanities and Social Sciences,11:30 AM
Hazard Situation,La Jolla Village Drive,11:36 AM
Suspicious Person,Torrey Pines Center - South,12:48 PM
Incomplete/Accidental Landline 911 Call,Catalyst,1:21 PM
Petty Theft - Micro Mobility Device,Center Hall,4:00PM-9:00PM
Injury,Torrey Pines Road,4:40 PM
Welfare Check,Gilman Drive,5:17 PM
Information,Medical Center Drive,11:00 AM
Fire Alarm,Viento on Miramar Street,7:23 PM
Incomplete/Accidental Landline 911 Call,Tata Hall,7:43 PM
Welfare Check,Villa La Jolla Drive,7:53 PM
Security Alarm,North Torrey Pines Road,9:25 PM
Welfare Check,Erc Administration,10:01 PM
Battery,UCSD Medical Center - Hillcrest,2:45 PM
Theft,Jacobs Medical Center,2:45 PM
Vehicle Burglary,Miramar Street,8:30 AM-6:40 AM
Medical Aid,Tamarack Apartments,7:23 AM
Hazard Situation,Voigt Drive,7:41 AM
Security Alarm,Student Services Center,8:03 AM
Medical Aid,Executive Drive,9:54 AM
Signal Light Malfunction,La Jolla Village,12:02 PM
Citizen Assist,Theatre District Parking,12:18 PM
Medical Aid,Moore's Cancer Center,2:16 PM
