crime_type,location,time,crime_category
Suspicious Circumstances,Central Mesa Apartments,12:03 PM,Disturbance
Incomplete/Accidental Wireless 911 Call,Scripps Memorial Hospital,1:08 PM,Non-Emergent Call or Report
Burglary Alarm,Leichtag Family Foundation Biomedical Research,3:24 PM,Theft and Damage
Signal Light Malfunction,Gilman Drive/Theatre District Drive,3:32 PM,Traffic
Non-Criminal Fire,South Mesa Apartments,7:07 PM,Disturbance
Signal Light Malfunction,North Torrey Pines Road/Revelle College Drive,8:25 PM,Traffic
Vandalism,Mandeville Center,10:47 PM,Theft and Damage
Disturbance,Astilla,11:07 PM,Disturbance
Simple Assault,Hillcrest Medical Center,8:04 PM,Violent
Information,Mesa Canyon Parking,2:18 AM,Non-Emergent Call or Report
Trespass: Non-Student Refuse to Leave Campus/ University Curfew Violation/ Stay Away Order Issuance,Pepper Canyon Hall,4:50 AM-5:20 AM,Disturbance
Security Alarm,Blue Peek,5:15 AM,Disturbance
Traffic Hazard,La Jolla Village,6:50 AM,Traffic
Property Damage,One Miramar Street,8:16 AM,Theft and Damage
Incomplete/Accidental Landline 911 Call,UC San Diego,8:29 AM,Non-Emergent Call or Report
Welfare Check,Regents Road,8:32 AM,Welfare
Information Only Report,CAPA,8:49AM-9:35AM,Non-Emergent Call or Report
Information,CAPA,8:49AM-9:35AM,Non-Emergent Call or Report
Traffic Hazard,La Jolla Village Drive,8:58 AM,Traffic
Suspicious Person,Visual Arts Facility,9:54 AM,Disturbance
Suspicious Person,Mosaic,10:05 AM,Disturbance
Hit and Run Collision - No Injuries,Torrey Pines Lane,10:24 AM,Traffic
Medical Aid,Koman Family Outpatient,11:05 AM,Welfare
Mental Health Detention,UC San Diego Residential Area,11:15 AM,Welfare
Security Alarm,Humanities and Social Sciences,11:30 AM,Disturbance
Hazard Situation,La Jolla Village Drive,11:36 AM,Other
Suspicious Person,Torrey Pines Center - South,12:48 PM,Disturbance
Incomplete/Accidental Landline 911 Call,Catalyst,1:21 PM,Non-Emergent Call or Report
Petty Theft - Micro Mobility Device,Center Hall,4:00PM-9:00PM,Theft and Damage
Injury,Torrey Pines Road,4:40 PM,Welfare
Welfare Check,Gilman Drive,5:17 PM,Welfare
Information,Medical Center Drive,11:00 AM,Non-Emergent Call or Report
Fire Alarm,Viento on Miramar Street,7:23 PM,Disturbance
Incomplete/Accidental Landline 911 Call,Tata Hall,7:43 PM,Non-Emergent Call or Report
Welfare Check,Villa La Jolla Drive,7:53 PM,Welfare
Security Alarm,North Torrey Pines Road,9:25 PM,Disturbance
Welfare Check,Erc Administration,10:01 PM,Welfare
Battery,UCSD Medical Center - Hillcrest,2:45 PM,Violent
Theft,Jacobs Medical Center,2:45 PM,Theft and Damage
Vehicle Burglary,Miramar Street,8:30 AM-6:40 AM,Theft and Damage
Medical Aid,Tamarack Apartments,7:23 AM,Welfare
Hazard Situation,Voigt Drive,7:41 AM,Other
Security Alarm,Student Services Center,8:03 AM,Disturbance
Medical Aid,Executive Drive,9:54 AM,Welfare
Signal Light Malfunction,La Jolla Village,12:02 PM,Traffic
Citizen Assist,Theatre District Parking,12:18 PM,Other
Medical Aid,Moore's Cancer Center,2:16 PM,Welfare
Illegal Parking,Franklin Antonio Hall,2:47 PM,Traffic
Disturbance,Mesa Apartments - South,2:48 PM,Disturbance
Welfare Check,Price Center - East,3:41 PM,Welfare
Citizen Assist,Jacobs Medical Center - Bed Tower,4:07 PM,Other
Lost Property,Campus Emergency Services,4:29 PM,Theft and Damage
Security Alarm,Leichtag Family Foundation,7:05 PM,Disturbance
Petty Theft - Micro Mobility Device,Geisel Library,4:00PM-7:00PM,Theft and Damage
Fire Alarm,Tdlln - Pulse,8:16 PM,Disturbance
Welfare Check,Design and Innovation,8:34 PM,Welfare
Suspicious Person,University Center 108,1:03 AM,Disturbance
Trespass,Thornton Pavilion,1:09 AM,Disturbance
Welfare Check,Gilman Drive/Interstate 5 Overpass Bridge,2:51 AM,Welfare
Stay Away Order Issuance,Ridge Walk Academic Building,7:04 AM,Disturbance
Possession of Controlled Substances,Gilman Parking Structure,7:52 AM,Drugs
Illegal Camping,Mosaic,8:18 AM,Disturbance
Information Only Report,Rya,10:17 AM,Non-Emergent Call or Report
Incomplete/Accidental Wireless 911 Call,Off Campus (Unknown Address),12:37 PM,Non-Emergent Call or Report
Incomplete/Accidental Wireless 911 Call,Russel Walk/Lyman Walk,1:15 PM,Non-Emergent Call or Report
Welfare Check,Cala,1:30 PM,Welfare
Incomplete/Accidental Wireless 911,La Jolla Family House,4:22 PM,Non-Emergent Call or Report
Incomplete/Accidental Wireless 911 Call,Brisa,4:23 PM,Non-Emergent Call or Report
Petty Theft - Micro Mobility Device,Bonner Hall,2:10 PM - 5:10 PM,Theft and Damage
Hit and Run Collision - No Injuries,Interstate 5 Northbound/Nobel Drive,5:59 PM,Traffic
Suspicious Person,Kaleidoscope,9:58 PM,Disturbance
Citizen Assist,La Jolla Family House,10:59 PM,Other
Burglary Alarm,Central Utilities Plant,11:32 PM,Theft and Damage
Theft,East Campus Hospital,7:50 AM,Theft and Damage
Petty Theft,Central Mesa Apartments,6:00 PM - 4:00 PM,Theft and Damage
Campus Security Authority Report (CSA),UC San Diego Residential Area,Unknown,Non-Emergent Call or Report
Citizen Contact,Campus Emergency Services Building,10:46 AM,Other
General Disturbance,South Mesa Apartments,11:34 AM,Disturbance
Outside Agency Courtesy Report: Injury,Villa La Jolla Drive/Nobel Drive,12:08 PM,Welfare
Burglary Alarm,Humanities and Social Sciences,12:15 PM,Theft and Damage
Incomplete/Accidental Wireless 911 Call,Price Center West,12:34 PM,Non-Emergent Call or Report
Incomplete/Accidental Wireless 911 Call,Alumni and Welcome Center,12:56 PM,Non-Emergent Call or Report
Grand Theft,Medical Education and Telemedicine,12:00 PM - 4:30 PM,Theft and Damage
Parole Violation/ Drug Law Arrest,Trolley - Central Campus Station,4:50 PM,Drugs
General Disturbance,Target,5:17 PM,Disturbance
Non-Injury Collision,La Jolla Village Drive/Torrey Pines Road,5:25 PM,Traffic
Found Property,Parking Lot P761,6:15 PM,Theft and Damage
Incomplete/Accidental Landline 911 Call,Brisa,6:50 PM,Non-Emergent Call or Report
Traffic Hazard,Interstate 5 Northbound/Genesee Avenue,11:01 PM,Traffic
Petty Theft - Micro Mobility Device,Rimac,4:40 PM - 6:40 PM,Theft and Damage
Theft,Jacobs Medical Center,12:00 AM,Theft and Damage
Unknown Injury,La Jolla Village,12:18 AM,Welfare
Citizen Assist,Seventh College,2:03 AM,Other
Attempt to Contact,Tdlln - Sankofa,6:39 AM,Other
Medical Aid,Off Campus,7:56 AM,Welfare
Outside Agency Warrant Arrest,Design and Innovation Building,8:00 AM,Other
Suspicious Person,Franklin Antonio Hall,8:08 AM,Disturbance
Grand Theft,Jacobs Medical Center,8:30 PM-6:30 AM,Theft and Damage
Attempt to Contact,UC San Diego,12:28 PM,Other
Incomplete/Accidental Wireless 911 Call,Conrad Prebys Music Center,12:42 PM,Non-Emergent Call or Report
Incomplete/Accidental Wireless 911 Call,Triton Parking,12:48 PM,Non-Emergent Call or Report
Medical Aid,Villa La Jolla Drive,1:22 PM,Welfare
Fire Alarm,Capa,3:58 PM,Disturbance
Suspicious Person,Actri on Medical Center,4:17 PM,Disturbance
Animal Call,Sio Pier,4:23 PM,Other
Petty Theft - Micro Mobility Device,Trolley - Central,10:20AM-16:30AM,Theft and Damage
Petty Theft,Medical Education and Telemedicine,4:30 PM - 4:51 PM,Theft and Damage
Found Property,Neighborhood - ECEC,5:19 PM,Theft and Damage
Mental Health Detention,UC San Diego Residential Area,8:39 PM,Welfare
Threaten Crime with Intent to Terrorize/ Hate Crime - Race,Parking Lot P761,9:00 PM,Violent
Suspicious Person,Athena Circle,9:10 PM,Disturbance
Disturbance,Piedra,9:12 PM,Disturbance
Incomplete/Accidental Wireless 911 Call,Tioga Hall,10:32 PM,Non-Emergent Call or Report
Sex Offender: Fail to Register/ Stay Away Order Issuance,One Miramar Street,12:34 AM,Disturbance
Noise Disturbance,Mesa Apartments,1:52 AM,Disturbance
"Disturbance, Domestic Violence",Pepper Canyon Apartments,2:40 AM,Violent
Security Alarm,Biomedical Sciences Building,9:11 AM,Disturbance
Suspicious Person,Parking Lot P510,10:08 AM,Disturbance
Incomplete /Accidental Wireless 911 Call,Marshall Upper Apts L,10:51 AM,Other
Suspicious Person,Target-PC West On Matthews Lane,10:58 AM,Disturbance
Welfare Check,George Palade Laboratories,11:11 AM,Welfare
Medical Aid,Mesa Apartments South,12:12 PM,Welfare
Welfare Check,Sankofa On Scholars Drive South,12:25 PM,Welfare
Found Property,Off Campus-Unknown Location,1:45 PM,Theft and Damage
Information,Trolley- Central Campus Station,1:47 PM,Non-Emergent Call or Report
Citizen Flagdown,Parking Lot P510,4:31 PM,Other
Found Property,San Diego Convention Center,9:30 PM,Theft and Damage
Welfare Check,parking Lot P304,9:44 PM,Welfare
Non Injury Collision,Regents Road/ La Jolla Village Drive,10:01 PM,Traffic
Citizen Assist,La Jolla Village Drive/ Regents Road,10:49 PM,Other
Fire Alarm,Deep Sea Drilling,12:49 AM,Disturbance
Domestic Violence Disturbance,UCSD Residential Area,2:24 AM,Violent
Welfare Check,Matthew Apartments,2:41 AM,Welfare
Quiet Hours Contact,Cala,2:42 AM,Disturbance
Welfare Check,Price Center,5:16 AM,Welfare
Disorderly Conduct: Alcohol,Bates Hall,6:12 AM - 5:55 AM,Drugs
Burglary Alarm,Student Health and Wellness,10:28 AM,Theft and Damage
Reckless Driving,Interstate 5,10:43 AM,Traffic
Impound Property,Seventh College,10:49 AM,Theft and Damage
Grand Theft - Micro Mobility Device,Rita Atkinson,8:00PM-8:00AM,Theft and Damage
Welfare Check,Campus Emergency Services Building,12:03 PM,Welfare
Attempt to Contact,Tdlln - Sankofa,2:39 PM,Other
Incomplete/Accidental Landline 911 Call,Exchange on Miramar Street,4:41 PM,Non-Emergent Call or Report
Welfare Check,Missing Brewing,6:11 PM,Welfare
Medical Aid,Regents Medical Plaza,6:58 PM,Welfare
Suspicious Person,Design and Innovation Building,7:04 PM,Disturbance
Fire Alarm,Tdlln - Azad,7:04 PM,Disturbance
Domestic Dispute,Tapestry on Scholars,9:14PM-10:04PM,Disturbance
Fire Watch,Piedra on Miramar Street,9:41 PM,Disturbance
Noise Disturbance,Hubbs Hall,11:51 PM,Disturbance
Noise Disturbance,Rya,12:01 AM,Disturbance
Noise Disturbance,Pulse,2:49 AM,Disturbance
Welfare Check,Mesa Canyon Parking Structure,3:06 AM,Welfare
Welfare Check,Galathea Hall,3:55 AM,Welfare
Burglary Alarm,LGBT Resource Center,5:51 AM,Theft and Damage
Incomplete/Accidental Wireless 911 Call,Tioga Hall,6:01 AM,Non-Emergent Call or Report
Burglary Alarm,Student Services Center,7:03 AM,Theft and Damage
Trespass,"Northridge Drive, Palmdale, California",9:55 AM,Disturbance
Incomplete/Accidental Wireless 911 Call,North Torrey Pines Road,9:58 AM,Non-Emergent Call or Report
Medical Aid,Peterson Hall,10:14 AM,Welfare
Injury,Sulpizio Family Cardiovascular Center,10:51 AM,Welfare
Mental Health Detention,UCSD Residential Area,11:56 AM - 5:56 PM,Welfare
Incomplete/Accidental Wireless 911 Call,Jacobs Hall,12:08 PM,Non-Emergent Call or Report
Petty Theft - Micro Mobility Device,Stewart Commons,1:55 PM,Theft and Damage
Grand Theft,Canyon Vista,6:15 AM - 2:30 PM,Theft and Damage
Gas/Water/Sewer Leak,Scholars Drive North/Thurgood Marshall Lane,3:02 PM,Other
Medical Aid,Rebecca and John Moores Cancer Center,4:07 PM,Welfare
Incomplete/Accidental Wireless 911 Call,Genesee Avenue,4:11 PM,Non-Emergent Call or Report
Shoplifting,Target - PC West,4:20 PM,Theft and Damage
Possession of Marijuana,Stewart Hall,4:34 PM,Drugs
Welfare Check,UCSD Residential Area,4:39 PM,Welfare
Ticket Sign Off,UCSD Police Department,4:56 PM,Traffic
Medical Aid,Scripps Memorial Hospital,5:52 PM,Welfare
Petty Theft,Peterson Hall,5:00 PM - 5:45 PM,Theft and Damage
Medical Aid,Scripps Memorial Hospital,6:08 PM,Welfare
Alcohol Contact,Justice Lane,9:56 PM,Drugs
Noise Disturbance,Mesa Verde Hall,10:15 PM,Disturbance
Petty Theft - Micro Mobility Device,Warren Lecture Hall,7:00 PM - 10:00 PM,Theft and Damage
Simple Assault,East Campus Hospital,1:20 AM,Violent
Burglary Alarm,Leichtag Family Foundation Biomedical Research,1:49 AM,Theft and Damage
Noise Disturbance,Pepper Canyon Apartments 1700,1:55 AM,Disturbance
Drunk in Public,La Jolla Village Drive/Lebon Drive,2:31 AM,Drugs
Alcohol Contact,Black Hall,2:36 AM,Drugs
Trespass / University Curfew Violation,Computer Science and Engineering Building,5:50 AM,Disturbance
Non-student Refuse to Leave University/ Camping on UC Campus,Pepper Canyon Hall,6:18 AM,Disturbance
Burglary Alarm,Campus Curbside Pickup,6:20 AM,Theft and Damage
Information,Thornton Pavilion,6:42 AM,Non-Emergent Call or Report
Hit & Run Collision - No Injuries,South Parking Structure,2:33 PM,Traffic
Information,Geisel Library,8:28 AM,Non-Emergent Call or Report
Incomplete/Accidental Landline 911 Call,UC San Diego,8:42 AM,Non-Emergent Call or Report
Welfare Check,Canyonview Recreation/Athletics Administration,9:03 AM,Welfare
Non-Injury Collision,Jacobs Medical Center,9:36 AM,Traffic
Non-Injury Collision,Voigt Drive/Health Sciences Drive,9:44 AM,Traffic
Petty Theft - Micro Mobility Device,Solis Hall,8:00 AM - 9:30 AM,Theft and Damage
Report of Vandalism,Stewart Commons Annex,10:55 AM,Theft and Damage
Incomplete/Accidental Wireless 911 Call,Voigt Drive/Engineers Lane,1:07 PM,Non-Emergent Call or Report
